sl_store,sl_address,sl_address2,sl_city,sl_state,sl_zip,sl_country,sl_latitude,sl_longitude,sl_tags,sl_description,sl_email,sl_url,sl_hours,sl_phone,sl_fax,sl_image,category
R D MURPHY CO,210 ANDOVER ST #16,,WILMINGTON,MA,1887,USA,42.589978,-71.147641,,R D MURPHY CO,,n/a,,978-658-2567,,,Wholesaler
SCHUMACHER & SEILER,515 E. MAIN ST,,DALLASTOWN,PA,17313,USA,39.899507,-76.632142,,SCHUMACHER & SEILER,,www.schumacherseiler.com,,717-246-6091,,,Wholesaler
SCHUMACHER & SEILER,9044 FREDERICK RD,,ELLICOTT CITY,MD,21042,USA,39.272326,-76.825038,,SCHUMACHER & SEILER,,www.schumacherseiler.com,,410-561-2461,,,Wholesaler
SCHUMACHER & SEILER,2109 BELAIR RD,,FALLSTON,MD,21047,USA,39.493833,-76.388404,,SCHUMACHER & SEILER,,www.schumacherseiler.com,,410-879-3131,,,Wholesaler
SCHUMACHER & SEILER,2412 CROFTON BLVD,,CROFTON,MD,21114,USA,39.015499,-76.69809,,SCHUMACHER & SEILER,,www.schumacherseiler.com,,410-721-4201,,,Wholesaler
SCHUMACHER & SEILER,10 W. AYLESBURY RD,,TIMONIUM,MD,21093,USA,39.434426,-76.621961,,SCHUMACHER & SEILER,,www.schumacherseiler.com,,410-561-2461,,,"Wholesale, Showroom"
SIMON'S SUPPLY CO. INC. ,586 HIGGINS CROWELL RD,,WEST YARMOUTH,MA,2673,USA,41.680873,-70.250726,,SIMON'S SUPPLY CO. INC. ,,www.simonsupply.com,,508-775-0740,,,"Wholesale, Showroom"
SIMON'S SUPPLY CO. INC. ,770 MOUNT PLEASANT ST,,NEW BEDFORD,MA,2745,USA,41.671178,-70.943446,,SIMON'S SUPPLY CO. INC. ,,www.simonsupply.com,,508-995-5161,,,"Wholesale, Showroom"
SIMON'S SUPPLY CO. INC. ,19 SLADE ST,,PAWTUCKET,RI,2861,USA,41.891394,-71.3578,,SIMON'S SUPPLY CO. INC. ,,www.simonsupply.com,,401-722-0200,,,"Wholesale, Showroom"
SIMON'S SUPPLY CO. INC. ,6 APOLLO 11 RD,,PLYMOUTH,MA,2360,USA,41.957264,-70.692746,,SIMON'S SUPPLY CO. INC. ,,www.simonsupply.com,,508-747-5112,,,"Wholesale, Showroom"
SIMON'S SUPPLY CO. INC. ,821 CAMBRIDGE ST,,FALL RIVER,MA,2722,USA,41.684672,-71.145122,,SIMON'S SUPPLY CO. INC. ,,www.simonsupply.com,,508-679-6431,,,"Wholesale, Showroom"
SMITHFIELD PLUMBING SUPPLY CO,1 AUSTIN AVE,,GREENVILLE,RI,2828,USA,41.87271,-71.552645,,SMITHFIELD PLUMBING SUPPLY CO,,www.smithfieldsupply.com,,401-949-0110,,,Wholesaler
SOUTHEASTERN PLUMBING,531 S. MAIN ST,,SALISBURY,NC,28144,USA,35.662575,-80.474944,,SOUTHEASTERN PLUMBING,,www.southeasternplumbingsalisbury.com,,704-637-6496,,,Wholesaler
THE LAVATO SUPPLY CO INC,165 FRONT ST,,CHICOPEE,MA,1014,USA,42.148712,-72.610446,,THE LAVATO SUPPLY CO INC,,n/a,,413-592-7248,,,Wholesaler
THOMAS SOMERVILLE CO,1300 CONTINENTAL DRIVE,,ABINGDON,MD,21009,USA,39.446306,-76.293069,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,410-679-1625,,,Wholesaler
THOMAS SOMERVILLE CO,44221 AIRPORT VIEW DR,,HOLLYWOOD,MD,20636,USA,38.321199,-76.545042,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,301-373-4400,,,"Wholesale, Showroom"
THOMAS SOMERVILLE CO,5108-D BUCHANAN ST,,HYATTSVILLE,MD,20781,USA,38.946326,-76.933503,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,301-864-5560,,,Wholesaler
THOMAS SOMERVILLE CO,751 SHERIDAN AVE,,MARTINSBURG,WV,25401,USA,39.441397,-77.976357,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,304-263-4981,,,Wholesaler
THOMAS SOMERVILLE CO,2120 MAYWILL ST,,RICHMOND,VA,23230,USA,37.586134,-77.487096,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,703-273-4900,,,"Wholesale, Showroom"
THOMAS SOMERVILLE CO,6250 CHILLUM PLACE NW,,WASHINGTON,DC,20011,USA,38.966269,-77.011492,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,202-635-4177,,,Wholesaler
THOMAS SOMERVILLE CO,1401 SLATE RD,,CAMP HILL,PA,17011,USA,40.209064,-76.940879,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,717-972-5730,,,"Wholesale, Showroom"
THOMAS SOMERVILLE CO,11002 CATHELL RD,,OCEAN CITY,MD,21811,USA,38.375575,-75.173851,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,410-641-5020,,,Wholesaler
THOMAS SOMERVILLE CO,14700 WILLARD RD,,CHANTILLY,VA,20151,USA,38.888648,-77.455066,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,703-930-2735,,,Wholesaler
THOMAS SOMERVILLE CO,THOMAS SOMERVILLE CO - OWINGS MILLS,,OWINGS MILLS,MD,21117,USA,39.41955,-76.780253,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,410-363-3841,,,"Wholesale, Showroom"
THOMAS SOMERVILLE CO,1510 TILCO DR,,FREDERICK,MD,21704,USA,39.399862,-77.388535,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,301-662-9570,,,Wholesaler
THOMAS SOMERVILLE CO,24 IRONGATE DRIVE,,WALDORF,MD,20601,USA,38.612869,-76.905901,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,301-932-9400,,,Wholesaler
THOMAS SOMERVILLE CO,9825 FAIRFAX BLVD,,FAIRFAX,VA,22030,USA,38.863113,-77.283709,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,703-273-4900,,,Wholesaler
THOMAS SOMERVILLE CO,425 NELSON STREET,,CHAMBERSBURG,PA,17201,USA,39.936901,-77.653318,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,717-264-9300,,,Wholesaler
THOMAS SOMERVILLE CO,15901 SOMERVILLE DR,,ROCKVILLE,MD,20855,USA,39.117924,-77.164418,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,301-948-8650,,,"Wholesale, Showroom"
THOMAS SOMERVILLE CO,3735 BOARD RD,,YORK,PA,17406,USA,40.036087,-76.737166,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,717-848-1545,,,Wholesaler
THOMAS SOMERVILLE CO,3900 PENN BELT RD.,,FORESTVILLE,MD,20747,USA,38.836255,-76.875693,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,301-516-7000,,,Wholesaler
THOMAS SOMERVILLE CO,99 N. LANGLEY RD,,GLEN BURNIE,MD,21060,USA,39.180674,-76.606203,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,410-760-8710,,,"Wholesale, Showroom"
THOMAS SOMERVILLE CO,2349 SOLOMONS ISLAND RD,,ANNAPOLIS,MD,21401,USA,38.981003,-76.535108,,THOMAS SOMERVILLE CO,,www.tsomerville.com,,410-266-6022,,,"Wholesale, Showroom"
"WHITE'S PLUMBING SUPPLIES, INC.",582 BOSTON POST ROAD,,WEST HAVEN,CT,6516,USA,41.289933,-72.96875,,"WHITE'S PLUMBING SUPPLIES, INC.",,www.whitesplumbing.com,,203-934-9258,,,Wholesaler
WIN/NOLAND CO - ANNAPOLIS #855,209-213 CHINQUAPIN ROUND RD,,ANNAPOLIS,MD,21401,USA,38.97756,-76.52338,,WIN/NOLAND CO - ANNAPOLIS #855,,www.noland.com,,410-263-9261,,,Wholesaler
WINNELSON,"124 HUDSON LANE, SUITE 102",,GREENVILLE,SC,29492,USA,34.858017,-82.322526,,WINNELSON,,n/a,,843-856-0084,,,Wholesaler
WINNELSON,287 (REAR) HOMESTEAD AVE,,HARTFORD ,CT,6112,USA,41.777947,-72.696036,,WINNELSON,,www.hartford-winnelson.com,,860-547-1741,,,Wholesaler
